temer;deputados;politicos;aborto;regiao;escolaridade;sexo;idade;freqmissa;impreligiao;renda;protest;policiaprop;publiprop;propina;miliprop;assassinato;confjust;confinst;confsistema;orgulhosist;apoio;orgulhobra;confexercito;confcongresso;confmilitar;confpartido;confpresidente;confcomunic;confeleicao
Very Bad;Poorly;More than half of them;Nao;Região Sul;8;Female;20;Once or twice a year;Very Important;2;No, I have not participated;No;No;No;No;Yes;3;5;4;1;7;6;7;4;2;1;1;6;3
Bad;Poorly;More than half of them;Nao;Região Sudeste;10;Male;36;More than once a week;Very Important;13;Yes, I have participated;No;Yes;No;No;Yes;4;5;2;3;4;6;3;1;4;2;1;2;6
Neither Good nor Bad (Fair);Very poorly;All;Nao;Região Sudeste;9;Male;38;Never or almost never;Very Important;15;No, I have not participated;No;No;No;No;No;3;1;1;1;1;7;1;1;1;1;1;4;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sudeste;11;Female;22;Once a month;Very Important;13;No, I have not participated;No;No;No;No;No;2;4;1;1;2;5;4;3;5;1;2;4;3
Very Bad;Very poorly;All;Nao;Região Centro-Oeste;11;Male;36;Never or almost never;Very Important;1;No, I have not participated;No;No;No;No;Yes;1;1;1;1;1;3;7;1;4;1;1;1;1
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Sudeste;11;Female;42;Once a month;Somewhat Important;2;No, I have not participated;No;No;Yes;No;Yes;3;5;1;1;1;3;5;2;1;1;1;5;7
Neither Good nor Bad (Fair);Very poorly;More than half of them;Sim;Região Sudeste;10;Male;43;Once or twice a year;Very Important;17;Yes, I have participated;No;No;Yes;No;Yes;1;1;1;1;1;2;2;1;3;1;2;1;1
Good;Neither well nor poorly;More than half of them;Nao;Região Nordeste;9;Female;16;Once a month;Very Important;2;No, I have not participated;No;No;No;No;Yes;4;7;3;4;6;7;5;7;6;3;5;7;5
Very Bad;Very poorly;More than half of them;Nao;Região Sudeste;11;Male;20;Once or twice a year;Very Important;4;No, I have not participated;No;No;No;No;Yes;3;5;3;2;2;2;2;2;4;1;1;5;1
Very Bad;Very poorly;All;Sim;Região Sudeste;11;Female;40;Once or twice a year;Very Important;6;No, I have not participated;No;No;No;No;Yes;5;4;1;1;1;5;6;1;7;3;1;2;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Centro-Oeste;6;Male;45;Once or twice a year;Somewhat Important;12;No, I have not participated;No;No;No;No;Yes;5;1;5;2;2;7;6;1;5;2;3;5;4
NA;Very poorly;All;Nao;Região Centro-Oeste;2;Male;35;Once a week;Very Important;NA;No, I have not participated;Yes;No;No;Yes;Yes;6;1;7;2;6;7;4;3;1;1;7;5;4
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Norte;7;Female;51;Once a week;Very Important;16;No, I have not participated;No;No;No;No;Yes;3;1;1;1;1;7;6;1;5;1;3;5;3
Very Bad;Neither well nor poorly;Half of them;Sim;Região Nordeste;11;Female;34;More than once a week;Very Important;5;No, I have not participated;No;No;No;No;Yes;1;5;5;3;5;6;1;1;1;1;1;7;1
Bad;Neither well nor poorly;All;Sim;Região Sul;10;Female;23;Once a month;Very Important;4;No, I have not participated;No;No;No;No;Yes;1;4;7;4;4;7;7;4;1;1;1;1;1
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Sudeste;10;Female;28;Once a month;Very Important;4;No, I have not participated;No;No;Yes;No;Yes;1;1;1;1;1;7;7;7;1;1;1;4;2
Very Bad;Very poorly;All;Sim;Região Sul;14;Female;22;Once a month;Somewhat Important;4;No, I have not participated;No;No;No;No;Yes;5;2;5;3;2;1;3;4;4;1;1;5;5
Very Bad;Very poorly;More than half of them;Sim;Região Sudeste;15;Male;38;Once or twice a year;Somewhat Important;9;Yes, I have participated;No;No;No;No;Yes;4;7;3;1;1;7;7;1;7;1;1;1;5
Very Bad;Very poorly;All;Sim;Região Nordeste;17;Female;43;Never or almost never;Somewhat Important;12;No, I have not participated;No;No;No;No;Yes;5;4;3;4;4;7;7;4;7;4;3;3;4
Neither Good nor Bad (Fair);Poorly;More than half of them;Nao;Região Sul;11;Male;29;Once a month;Very Important;8;No, I have not participated;No;No;Yes;No;Yes;2;1;1;1;1;2;3;1;1;1;1;3;2
Bad;Very poorly;All;Sim;Região Norte;7;Female;56;Once a month;Very Important;9;No, I have not participated;No;No;No;No;Yes;6;3;1;2;7;6;2;4;5;6;1;3;7
Neither Good nor Bad (Fair);Poorly;More than half of them;Nao;Região Sudeste;11;Female;33;Once a week;Very Important;10;No, I have not participated;No;No;No;No;No;2;7;2;1;1;4;5;1;4;2;2;5;4
Very Bad;Very poorly;All;Sim;Região Sudeste;17;Male;40;Never or almost never;Somewhat Important;17;No, I have not participated;No;No;No;No;Yes;3;3;2;1;1;7;2;1;1;1;1;4;4
Neither Good nor Bad (Fair);Poorly;More than half of them;Nao;Região Norte;11;Male;18;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;2;4;5;4;2;7;5;5;6;5;6;6;5
Neither Good nor Bad (Fair);Well;Less than half of them;Nao;Região Norte;7;Female;16;Once a week;Very Important;2;No, I have not participated;No;No;No;No;No;7;4;7;6;5;7;7;6;5;6;7;6;6
Very Bad;Neither well nor poorly;All;Nao;Região Nordeste;10;Male;31;Once a month;Very Important;9;No, I have not participated;No;No;No;No;Yes;3;1;2;1;1;1;3;1;3;1;1;6;1
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Sim;Região Norte;11;Female;60;More than once a week;Very Important;8;No, I have not participated;No;No;No;No;Yes;5;5;5;5;6;7;7;6;6;5;5;5;6
Very Bad;Very poorly;All;Sim;Região Sudeste;3;Male;56;Once a week;Very Important;6;No, I have not participated;No;No;No;No;No;1;1;1;1;1;7;7;1;1;1;1;7;1
Neither Good nor Bad (Fair);Poorly;All;Sim;Região Sudeste;13;Female;30;More than once a week;Very Important;7;No, I have not participated;No;No;No;No;Yes;3;5;1;1;3;4;5;3;5;1;2;1;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sudeste;11;Female;30;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;3;5;1;1;3;3;7;1;6;1;1;1;1
Very Bad;Neither well nor poorly;More than half of them;Nao;Região Nordeste;11;Female;20;More than once a week;Very Important;3;Yes, I have participated;No;No;No;No;No;4;5;4;5;3;7;5;2;4;6;1;4;3
NA;NA;More than half of them;Nao;Região Sul;6;Female;21;Never or almost never;Very Important;10;No, I have not participated;No;No;No;No;No;1;1;1;1;1;7;7;1;7;1;7;7;7
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sudeste;6;Male;36;Never or almost never;Very Important;13;Yes, I have participated;Yes;Yes;No;Yes;Yes;1;1;1;1;2;5;7;1;1;1;3;5;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sudeste;16;Male;50;Once a month;Somewhat Important;11;No, I have not participated;No;No;No;No;Yes;5;4;1;4;7;4;7;4;4;1;4;4;1
Very Bad;Neither well nor poorly;More than half of them;Nao;Região Sudeste;4;Male;63;Once or twice a year;Very Important;10;No, I have not participated;No;No;No;No;Yes;1;2;3;3;2;6;4;1;5;1;4;7;3
Bad;Very Well;All;Nao;Região Centro-Oeste;5;Female;28;Once or twice a year;Very Important;4;No, I have not participated;No;No;No;No;No;7;5;4;3;2;7;7;7;7;5;3;4;5
Very Bad;Very poorly;All;Sim;Região Nordeste;11;Male;54;Once or twice a year;Very Important;3;No, I have not participated;No;No;No;No;Yes;1;1;1;1;1;7;2;1;1;1;1;3;1
Good;Neither well nor poorly;Less than half of them;Nao;Região Sudeste;6;Male;66;More than once a week;Very Important;12;No, I have not participated;No;No;No;No;Yes;2;2;2;4;4;7;7;5;4;2;6;7;5
Very Bad;Very poorly;More than half of them;Sim;Região Sul;8;Female;79;Never or almost never;Very Important;10;No, I have not participated;No;No;No;No;Yes;1;5;3;4;4;7;6;3;5;1;1;5;2
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sul;17;Female;39;Once a week;Very Important;16;Yes, I have participated;No;No;No;No;Yes;4;5;5;3;7;7;7;5;6;4;5;7;4
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Sul;11;Male;21;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;No;5;4;2;6;4;7;7;3;6;1;1;2;1
Neither Good nor Bad (Fair);Poorly;More than half of them;Sim;Região Nordeste;9;Male;36;Once a month;Very Important;8;No, I have not participated;No;No;No;No;No;5;5;4;3;3;7;7;4;7;3;3;6;5
Very Bad;Well;All;Sim;Região Nordeste;8;Male;62;Never or almost never;Very Important;2;No, I have not participated;No;No;No;No;Yes;5;1;1;3;1;7;7;1;7;1;1;7;1
Good;Poorly;More than half of them;Sim;Região Nordeste;11;Male;43;Once a month;Very Important;2;No, I have not participated;No;No;No;No;Yes;5;7;5;5;5;7;7;6;7;4;7;7;6
Very Bad;Very poorly;More than half of them;Nao;Região Sul;10;Female;40;More than once a week;Very Important;16;No, I have not participated;No;No;No;No;Yes;5;2;5;2;3;7;1;1;2;1;1;4;2
Very Bad;Very poorly;All;Sim;Região Nordeste;7;Male;25;Once a week;Very Important;6;No, I have not participated;No;No;No;No;Yes;1;2;7;7;1;7;7;1;1;2;7;3;5
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Sul;10;Male;22;Never or almost never;Very Important;7;No, I have not participated;No;No;No;No;No;3;2;4;4;5;6;7;1;7;1;1;6;3
Bad;Poorly;All;Sim;Região Norte;7;Female;44;Once a week;Very Important;14;No, I have not participated;No;No;No;No;Yes;2;1;2;1;3;2;4;2;4;1;2;4;1
Very Bad;Very poorly;All;Nao;Região Sudeste;0;Female;60;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;1;1;1;1;1;1;1;1;7;1;1;7;1
Very Bad;Neither well nor poorly;All;Nao;Região Centro-Oeste;9;Female;41;Once a month;Very Important;4;Yes, I have participated;No;No;No;No;No;4;1;1;1;4;1;7;4;1;1;1;7;1
Very Bad;Very poorly;More than half of them;Sim;Região Sudeste;11;Male;35;Never or almost never;Not Very Important;13;No, I have not participated;No;No;No;No;Yes;1;1;1;1;7;7;4;1;3;1;1;4;1
Very Bad;Well;More than half of them;Sim;Região Centro-Oeste;1;Male;56;Never or almost never;Very Important;7;No, I have not participated;No;No;No;No;No;3;6;4;6;6;7;4;5;5;3;5;6;2
Very Good;Neither well nor poorly;More than half of them;Sim;Região Sudeste;11;Male;28;Once or twice a year;Not Very Important;14;No, I have not participated;No;No;No;No;Yes;4;4;4;2;4;7;6;5;2;1;1;4;4
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sul;14;Female;58;Once a month;Very Important;4;No, I have not participated;No;No;No;No;Yes;5;3;3;2;2;7;6;1;4;4;1;6;5
Very Bad;Neither well nor poorly;More than half of them;Nao;Região Sudeste;6;Female;31;More than once a week;Very Important;5;No, I have not participated;No;No;No;No;Yes;4;3;1;3;7;7;5;2;4;1;1;5;3
Very Bad;Very poorly;More than half of them;Sim;Região Sul;8;Male;54;Never or almost never;Somewhat Important;NA;No, I have not participated;No;No;No;No;No;3;7;2;2;3;7;7;1;6;1;1;6;1
Very Bad;Neither well nor poorly;Less than half of them;Nao;Região Sudeste;0;Female;57;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;5;1;1;1;1;6;5;1;6;1;1;1;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sudeste;11;Female;38;Once a week;Very Important;5;Yes, I have participated;No;No;No;No;Yes;3;3;3;1;4;6;6;4;4;2;4;2;3
Very Bad;Very poorly;All;Sim;Região Sul;13;Female;27;Once a week;Very Important;17;Yes, I have participated;Yes;No;No;No;Yes;1;1;2;1;1;4;1;1;1;1;1;3;4
Very Bad;Well;All;Sim;Região Sudeste;10;Female;56;Once a month;Very Important;11;Yes, I have participated;No;No;No;No;Yes;7;5;1;4;3;7;1;1;3;5;1;6;5
Bad;Neither well nor poorly;More than half of them;Nao;Região Nordeste;8;Male;45;Never or almost never;Very Important;1;No, I have not participated;No;No;No;No;Yes;2;3;1;1;1;7;4;1;1;1;1;1;1
Neither Good nor Bad (Fair);Very poorly;More than half of them;Sim;Região Sul;17;Male;73;Once or twice a year;Very Important;16;No, I have not participated;No;No;No;No;Yes;2;1;3;4;1;7;4;1;3;1;2;7;6
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Nao;Região Nordeste;11;Male;29;Once a week;Very Important;8;No, I have not participated;Yes;No;No;No;Yes;4;4;1;1;3;7;7;5;5;4;3;7;5
Good;Well;All;Nao;Região Norte;5;Female;40;Once or twice a year;Not Very Important;4;No, I have not participated;No;No;No;No;Yes;7;5;6;5;6;7;7;5;4;2;6;7;5
Neither Good nor Bad (Fair);Very poorly;All;Nao;Região Sudeste;11;Female;29;Once a month;Not Very Important;4;No, I have not participated;No;No;No;No;NA;4;7;1;1;1;4;4;1;4;1;1;1;1
Very Bad;Neither well nor poorly;Half of them;Sim;Região Centro-Oeste;5;Male;27;More than once a week;Very Important;5;No, I have not participated;No;No;No;No;No;2;4;3;3;2;5;5;1;2;1;1;5;1
Very Bad;Very poorly;Half of them;Nao;Região Sudeste;4;Female;27;More than once a week;Very Important;NA;No, I have not participated;No;No;No;No;No;3;4;5;6;7;5;3;6;2;4;6;4;3
Neither Good nor Bad (Fair);Very poorly;More than half of them;Nao;Região Centro-Oeste;11;Male;31;Once a week;Very Important;10;No, I have not participated;No;No;No;No;Yes;5;6;1;1;1;7;4;3;5;1;1;5;4
Neither Good nor Bad (Fair);Poorly;All;Sim;Região Norte;4;Male;62;Once a month;Very Important;13;No, I have not participated;No;No;No;No;Yes;5;6;4;5;6;7;7;4;5;3;4;3;5
Neither Good nor Bad (Fair);Neither well nor poorly;Less than half of them;Sim;Região Sudeste;11;Female;39;Never or almost never;Very Important;10;No, I have not participated;No;No;No;No;Yes;6;5;4;5;5;7;7;4;7;5;4;7;4
Very Good;Very Well;All;Sim;Região Sudeste;17;Male;40;Never or almost never;Very Important;13;No, I have not participated;Yes;No;Yes;No;No;4;7;7;7;7;7;7;4;4;4;7;7;5
Neither Good nor Bad (Fair);Very poorly;Half of them;Nao;Região Sudeste;11;Male;28;Once a week;Very Important;11;No, I have not participated;No;No;No;No;No;3;2;3;3;4;5;5;3;5;2;4;4;2
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Centro-Oeste;7;Male;56;Once or twice a year;Very Important;16;No, I have not participated;No;No;No;No;Yes;5;3;5;1;1;6;7;3;7;1;5;6;4
Very Bad;Neither well nor poorly;More than half of them;Nao;Região Nordeste;9;Male;33;Once a week;Very Important;4;No, I have not participated;No;No;No;No;Yes;3;1;1;1;2;7;7;2;3;1;1;6;1
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Sudeste;11;Male;57;Once a month;Very Important;6;No, I have not participated;No;Yes;No;No;No;4;7;5;5;7;7;5;5;7;4;2;5;7
Very Bad;Very poorly;More than half of them;Sim;Região Sudeste;11;Male;35;More than once a week;Very Important;7;No, I have not participated;No;No;No;No;Yes;2;1;1;1;1;6;7;1;5;1;1;3;2
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Nordeste;10;Female;17;Once a month;Somewhat Important;4;No, I have not participated;No;No;No;No;Yes;5;6;5;4;3;7;4;5;4;2;1;6;5
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Nordeste;8;Female;36;Once a month;Very Important;3;No, I have not participated;No;No;No;No;NA;4;NA;1;1;NA;1;7;1;1;1;1;7;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sudeste;8;Male;28;Once a month;Very Important;9;No, I have not participated;Yes;No;No;Yes;Yes;4;5;3;2;6;7;7;3;2;3;4;7;7
Bad;Poorly;More than half of them;Sim;Região Sudeste;11;Female;28;Once or twice a year;Very Important;6;No, I have not participated;No;No;No;No;No;5;5;2;3;4;7;5;3;5;2;1;3;3
Very Bad;Poorly;More than half of them;Nao;Região Norte;13;Male;23;Never or almost never;Very Important;13;Yes, I have participated;No;No;No;No;Yes;1;1;2;1;1;7;2;1;7;2;1;1;1
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Sim;Região Centro-Oeste;5;Female;36;Once a week;Very Important;16;No, I have not participated;No;No;Yes;No;No;7;7;7;7;1;7;2;2;2;2;2;3;7
Good;Neither well nor poorly;Less than half of them;Sim;Região Centro-Oeste;5;Female;29;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;No;1;5;3;2;2;7;7;6;5;3;7;7;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sudeste;9;Male;16;Once a month;Very Important;15;No, I have not participated;No;No;No;No;No;1;1;4;4;4;7;5;4;4;3;1;5;4
Bad;Neither well nor poorly;More than half of them;Nao;Região Sudeste;5;Female;32;Once a month;Very Important;4;No, I have not participated;No;No;No;No;Yes;3;6;7;2;4;5;7;2;2;1;1;6;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sul;11;Male;57;Never or almost never;Very Important;11;No, I have not participated;No;No;No;No;Yes;4;6;5;4;1;7;6;5;6;2;3;6;5
Neither Good nor Bad (Fair);Well;More than half of them;Sim;Região Sudeste;11;Male;62;Once a week;Very Important;13;No, I have not participated;No;No;No;No;No;5;7;4;3;5;7;5;4;6;4;3;5;4
Very Bad;Neither well nor poorly;Half of them;Sim;Região Nordeste;11;Male;57;More than once a week;Very Important;11;No, I have not participated;No;No;No;No;Yes;3;3;4;5;6;7;5;4;3;3;2;4;5
Bad;Very poorly;All;Sim;Região Norte;11;Male;39;Once a week;Very Important;2;No, I have not participated;No;No;Yes;No;Yes;7;1;7;1;1;1;1;1;7;2;4;4;5
Neither Good nor Bad (Fair);Very poorly;All;Nao;Região Sudeste;11;Female;18;Once a month;Somewhat Important;15;No, I have not participated;No;No;No;No;No;4;5;2;1;2;1;6;1;2;1;1;3;1
Very Bad;Very Well;All;Nao;Região Norte;12;Male;16;More than once a week;Very Important;15;No, I have not participated;No;No;No;No;No;4;7;1;6;1;7;7;3;6;5;1;5;2
Very Bad;Very poorly;All;Nao;Região Sudeste;10;Female;47;Once a week;Very Important;12;No, I have not participated;No;No;No;No;Yes;7;1;1;1;1;1;7;1;5;1;1;4;1
Very Bad;Very poorly;More than half of them;Sim;Região Sudeste;4;Male;57;Once or twice a year;Not Very Important;13;No, I have not participated;No;No;No;No;Yes;1;1;1;1;1;7;7;1;5;1;1;7;6
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Centro-Oeste;15;Female;44;More than once a week;Somewhat Important;14;No, I have not participated;No;No;No;No;Yes;4;1;1;1;1;7;7;2;1;1;1;1;1
Very Bad;Very poorly;More than half of them;Sim;Região Nordeste;7;Female;21;Once a month;Very Important;3;Yes, I have participated;No;No;Yes;No;Yes;3;1;1;1;2;2;3;2;2;1;1;3;2
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Nordeste;9;Female;20;Never or almost never;Very Important;2;No, I have not participated;No;No;No;No;Yes;3;4;2;2;3;7;7;5;7;3;4;3;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sul;7;Female;30;Once a month;Very Important;5;No, I have not participated;No;No;No;No;No;1;4;3;5;7;7;4;4;3;3;5;7;6
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sul;11;Male;24;More than once a week;Very Important;15;No, I have not participated;Yes;No;No;No;No;2;2;3;2;2;7;5;3;5;3;3;6;4
Very Bad;Very poorly;All;Sim;Região Sudeste;11;Female;23;Once a month;Very Important;6;No, I have not participated;No;No;Yes;No;Yes;1;3;1;1;1;1;4;1;1;1;1;3;1
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Sul;11;Male;25;Once a week;Very Important;7;No, I have not participated;No;No;No;No;Yes;3;2;1;1;1;5;4;4;3;1;1;2;2
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Sudeste;15;Male;58;Once a month;Very Important;17;No, I have not participated;No;No;Yes;No;Yes;5;1;3;1;3;7;5;1;4;1;3;5;3
Neither Good nor Bad (Fair);Neither well nor poorly;All;Nao;Região Sul;8;Female;63;More than once a week;Very Important;NA;No, I have not participated;No;No;No;No;No;4;4;3;1;2;7;5;3;2;3;3;5;3
Good;Neither well nor poorly;All;Nao;Região Nordeste;3;Male;64;Once a month;Not Important at All;10;No, I have not participated;No;No;No;No;No;5;2;1;3;3;7;7;1;3;1;1;3;1
Very Bad;Poorly;All;Nao;Região Sudeste;17;Female;33;Once a month;Very Important;14;No, I have not participated;No;No;No;No;No;3;3;4;1;1;4;4;1;3;1;1;2;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sudeste;11;Female;35;More than once a week;Very Important;3;Yes, I have participated;No;No;No;No;Yes;5;7;5;2;5;7;5;3;2;5;2;2;2
Very Bad;Very poorly;More than half of them;Sim;Região Sul;11;Female;40;Once or twice a year;Not Very Important;12;No, I have not participated;No;No;No;No;Yes;5;4;5;4;5;7;4;4;4;3;3;4;3
Very Bad;Poorly;More than half of them;Sim;Região Nordeste;8;Female;16;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;3;6;1;1;1;1;3;1;3;1;1;2;2
Very Bad;Poorly;More than half of them;Sim;Região Sudeste;11;Male;25;Never or almost never;Not Important at All;13;No, I have not participated;No;No;No;No;Yes;4;1;1;1;1;4;4;2;2;1;1;1;1
Very Bad;Poorly;All;Sim;Região Centro-Oeste;4;Female;48;Once a week;Very Important;13;No, I have not participated;No;No;No;No;Yes;2;4;2;1;1;1;1;1;2;1;1;3;1
Bad;Poorly;More than half of them;Sim;Região Nordeste;11;Male;21;Never or almost never;Not Important at All;16;No, I have not participated;No;No;No;No;Yes;4;3;3;2;3;5;5;3;5;2;3;4;3
Neither Good nor Bad (Fair);Poorly;More than half of them;Nao;Região Sudeste;11;Male;29;More than once a week;Very Important;11;No, I have not participated;No;No;No;No;Yes;3;7;4;2;2;6;7;3;5;3;3;5;5
Very Bad;NA;Half of them;Nao;Região Sul;10;Female;17;Once a week;Very Important;7;Yes, I have participated;No;No;Yes;No;Yes;4;6;2;1;4;7;5;NA;5;3;3;5;1
Very Bad;Very poorly;More than half of them;Nao;Região Sudeste;11;Male;26;Once a month;Very Important;14;No, I have not participated;No;No;No;No;Yes;5;3;3;2;3;7;5;3;5;2;2;5;5
Very Bad;Neither well nor poorly;All;Nao;Região Norte;7;Female;43;Never or almost never;Very Important;4;Yes, I have participated;No;No;No;No;Yes;5;5;1;1;1;4;5;1;5;1;1;5;5
Very Bad;Very poorly;All;Sim;Região Nordeste;8;Female;70;Once or twice a year;Very Important;5;Yes, I have participated;No;No;No;No;No;1;1;1;1;NA;7;7;1;7;NA;1;7;3
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Sul;15;Female;44;Once a month;Very Important;16;No, I have not participated;No;No;No;No;Yes;4;5;4;5;5;7;5;2;3;1;4;5;5
Neither Good nor Bad (Fair);Very poorly;More than half of them;Sim;Região Sul;11;Male;30;More than once a week;Very Important;13;Yes, I have participated;No;No;No;No;Yes;3;3;3;1;2;4;5;1;3;1;1;2;2
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Sudeste;11;Male;44;Once a week;Very Important;13;No, I have not participated;No;No;No;No;Yes;2;3;2;2;4;7;5;1;2;1;1;6;5
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Nordeste;5;Male;20;Once or twice a year;Somewhat Important;13;No, I have not participated;No;No;No;No;Yes;3;5;1;1;1;7;6;4;3;1;1;5;1
Very Bad;Very poorly;All;Sim;Região Sudeste;8;Male;45;Once a month;Very Important;5;No, I have not participated;No;No;No;No;Yes;3;4;4;2;5;7;3;2;2;2;1;2;3
Neither Good nor Bad (Fair);Well;More than half of them;Sim;Região Nordeste;5;Male;39;Once a week;Very Important;3;Yes, I have participated;Yes;No;No;No;Yes;3;1;1;2;7;7;1;1;4;3;7;7;1
Very Bad;Very poorly;All;Nao;Região Nordeste;10;Female;30;Never or almost never;Very Important;8;No, I have not participated;No;No;No;No;Yes;1;1;2;2;1;7;1;2;4;1;1;4;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sudeste;9;Male;34;More than once a week;Very Important;11;No, I have not participated;No;No;No;No;Yes;4;4;1;1;1;7;7;1;5;1;1;4;7
Very Good;Very poorly;All;Sim;Região Centro-Oeste;11;Female;29;Once a week;Very Important;3;No, I have not participated;No;No;No;No;No;1;1;1;1;1;7;1;1;7;1;7;7;7
Neither Good nor Bad (Fair);Well;More than half of them;Sim;Região Norte;11;Male;47;Never or almost never;Very Important;4;No, I have not participated;No;No;No;No;Yes;5;1;2;1;4;7;7;4;6;1;1;6;5
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Norte;4;Female;54;Once a week;Very Important;14;No, I have not participated;No;No;No;No;Yes;5;5;4;5;6;7;5;5;4;3;5;6;4
Very Bad;Very poorly;All;Sim;Região Sul;14;Male;19;Never or almost never;Not Important at All;NA;Yes, I have participated;No;No;No;No;No;1;1;1;1;1;4;1;1;1;1;1;1;3
Very Bad;Very poorly;All;Nao;Região Sudeste;11;Male;30;Once a month;Somewhat Important;8;No, I have not participated;No;No;Yes;No;No;1;1;1;1;1;7;7;1;5;1;1;7;1
Very Bad;Poorly;All;Sim;Região Sudeste;4;Female;44;Once a month;Very Important;3;No, I have not participated;No;No;No;No;Yes;5;3;1;1;1;7;6;4;6;1;1;2;1
Very Bad;Very poorly;All;Sim;Região Centro-Oeste;6;Female;57;Once a week;Very Important;3;No, I have not participated;No;No;No;No;No;6;5;2;3;3;6;5;2;4;3;2;6;6
Very Bad;Neither well nor poorly;Half of them;Sim;Região Sudeste;2;Male;54;Once or twice a year;Very Important;6;No, I have not participated;No;No;No;No;Yes;1;6;4;3;6;7;5;7;7;2;7;3;6
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sudeste;17;Female;62;Once a week;Very Important;10;Yes, I have participated;Yes;Yes;Yes;No;Yes;4;4;1;1;1;1;7;7;1;1;1;1;1
Neither Good nor Bad (Fair);Poorly;More than half of them;Sim;Região Sudeste;13;Female;58;Once a month;Very Important;13;No, I have not participated;No;No;No;No;Yes;4;3;3;2;3;7;5;3;3;1;2;4;3
Good;Neither well nor poorly;Half of them;Nao;Região Sudeste;4;Male;43;More than once a week;Very Important;2;No, I have not participated;No;No;No;No;No;5;5;5;3;5;7;7;5;7;5;5;7;2
Neither Good nor Bad (Fair);Poorly;Half of them;Sim;Região Sul;8;Female;32;Once a week;Very Important;6;No, I have not participated;No;No;No;No;No;1;2;1;2;2;3;2;1;1;1;2;2;4
Neither Good nor Bad (Fair);Very poorly;More than half of them;Sim;Região Sudeste;15;Male;26;Never or almost never;Very Important;10;No, I have not participated;Yes;Yes;Yes;Yes;Yes;1;1;1;1;1;2;1;1;1;2;3;2;1
Very Bad;Well;All;Sim;Região Sul;6;Male;16;Never or almost never;Not Important at All;3;No, I have not participated;No;No;No;No;Yes;2;6;4;1;6;7;7;2;1;1;2;5;1
Bad;Poorly;All;Nao;Região Nordeste;9;Male;72;Never or almost never;Not Very Important;2;No, I have not participated;No;No;No;No;No;7;5;1;6;1;7;7;7;7;1;1;6;3
Bad;Poorly;More than half of them;Nao;Região Sudeste;17;Male;30;Never or almost never;Not Very Important;15;No, I have not participated;No;No;No;No;No;5;4;3;2;1;5;7;4;6;3;3;2;2
